"PLAÈA"	"STATISTIÈNA REGIJA"	"STAROST"	"SPOL"	"Povpreèje 2020"
"Neto"	"SLOVENIJA"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1252
"Neto"	"Pomurska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1145
"Neto"	"Podravska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1195
"Neto"	"Koroška"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1177
"Neto"	"Savinjska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1149
"Neto"	"Zasavska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1141
"Neto"	"Posavska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1189
"Neto"	"Jugovzhodna Slovenija"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1238
"Neto"	"Osrednjeslovenska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1370
"Neto"	"Gorenjska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1209
"Neto"	"Primorsko-notranjska"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1109
"Neto"	"Goriška"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1178
"Neto"	"Obalno-kraška"	"Starost - SKUPAJ"	"Spol - SKUPAJ"	1223